contigName	contigLen	totalAvgDepth	ERR13958310.sorted.bam	ERR13958310.sorted.bam-var
k141_37561	4760	11.736	11.736	27.0029
k141_9421	5259	7.57565	7.57565	13.4099
k141_84442	9337	13.1674	13.1674	28.2535
k141_103199	2250	11.001	11.001	7.06621
k141_75067	2149	6.78189	6.78189	13.3088
k141_33	2093	6.97478	6.97478	15.3028
k141_18789	2113	5.99745	5.99745	14.6642
k141_56307	5997	10.4799	10.4801	22.312
k141_93819	7117	10.9693	10.9693	16.5475
k141_9423	4586	19.6152	19.6152	40.6084
k141_46938	4631	12.7735	12.7735	28.3027
k141_18790	3748	8.4119	8.4119	18.8127
k141_56310	1614	6.53825	6.53825	12.3485
k141_28178	9349	11.0592	11.0594	19.3444
k141_9425	1782	10.636	10.636	22.4855
k141_34	5034	9.36876	9.36896	14.4439
k141_56312	1986	8.13943	8.13943	10.2716
k141_65683	12971	10.9672	10.9672	25.5114
k141_28182	1701	7.11863	7.11863	17.9795
k141_103217	1833	5.83244	5.83244	8.29652
k141_46945	2998	6.29108	6.29108	12.5523
k141_75081	3312	9.46869	9.46869	19.7011
k141_41	1954	5.1541	5.1541	3.24524
k141_93823	7487	10.2986	10.2986	18.1217
k141_65686	1703	6.56793	6.56793	17.2817
k141_84454	7949	7.80523	7.80523	15.1946
k141_46947	1753	12.3119	12.3119	53.9274
k141_75083	1863	12.6334	12.6334	17.4122
k141_37585	1915	10.6822	10.6822	12.7645
k141_18795	6525	10.1407	10.1407	17.5068
k141_46948	1509	11.4113	11.4113	11.0582
k141_65687	2571	9.63982	9.63982	10.1801
k141_56326	1780	5.89325	5.89325	4.73509
k141_43	3115	8.67352	8.67352	11.7902
k141_84460	1513	7.73147	7.73147	7.63124
k141_103221	5268	9.62544	9.62544	21.5941
k141_46950	2005	11.2868	11.2868	22.5011
k141_75087	3341	8.13131	8.13131	24.1723
k141_56328	2578	13.4271	13.4271	434.969
k141_65690	3574	8.76694	8.76723	20.4359
k141_45	1619	7.5017	7.5017	6.41363
k141_37592	1524	15.6092	15.6092	27.8552
k141_84462	2542	7.74164	7.74164	13.7433
k141_56329	2278	8.42669	8.42669	11.5328
k141_103224	2831	6.06266	6.06304	7.64341
k141_93830	7486	9.88918	9.88918	15.3406
k141_37595	1803	13.6044	13.6044	31.0371
k141_56332	1606	14.3839	14.3839	66.1021
k141_18807	1739	10.1315	10.1322	15.6753
k141_52	1745	5.80063	5.80063	9.8335
k141_46956	2886	41.3754	41.3754	624.298
k141_84467	3695	10.7506	10.7506	15.4711
k141_56333	2887	7.86335	7.86335	10.5062
k141_65699	3076	10.5379	10.5379	29.3447
k141_18813	2124	5.95491	5.95491	10.0604
k141_56	1945	5.77604	5.77604	12.4392
k141_46961	2005	6.45013	6.45013	8.17847
k141_37601	4460	6.33828	6.33828	8.70338
k141_65701	1543	8.46016	8.46016	10.0977
k141_103231	5608	10.6189	10.6189	16.4397
k141_18816	2472	9.13997	9.13997	19.1881
k141_84472	3327	8.46805	8.46805	17.1848
k141_57	2805	7.40942	7.40942	9.88165
k141_37606	2012	41.6778	41.6778	216.471
k141_56345	2103	6.36252	6.36252	12.5099
k141_46963	5577	7.21117	7.21117	13.9376
k141_18820	3788	6.90544	6.90544	19.4648
k141_46964	1862	8.54907	8.54907	11.5113
k141_84475	4778	12.2258	12.2258	25.7773
k141_28184	26513	19.4731	19.4731	47.8886
k141_93835	16494	13.2955	13.2955	23.4903
k141_84476	1947	7.10128	7.10128	6.79708
k141_103232	9776	9.19104	9.19104	13.5731
k141_37610	1741	9.40352	9.40352	22.0258
k141_28187	1942	9.08984	9.08984	14.8031
k141_71	2628	7.5113	7.5113	10.967
k141_37611	2377	28.6273	28.6273	301.597
k141_65721	1599	7.88544	7.88544	9.76174
k141_28188	1846	3.55189	3.55189	2.39496
k141_37612	1901	14.4015	14.4015	39.3239
k141_65722	2100	6.44718	6.44718	12.7953
k141_93845	2282	9.23593	9.23593	18.1203
k141_77	3413	6.38002	6.38002	9.06937
k141_28194	1568	6.11213	6.11213	7.6678
k141_65725	2474	7.94923	7.94923	14.898
k141_78	2158	5.25249	5.25249	8.78178
k141_103252	1629	7.53212	7.53212	11.0014
k141_28198	1631	5.89737	5.89737	7.20977
k141_93853	1961	6.63887	6.63887	9.52254
k141_65729	1645	7.55585	7.55585	7.22966
k141_37620	4742	6.58406	6.58406	8.23602
k141_79	3917	10.3977	10.3977	12.9916
k141_93856	1889	10.7522	10.7522	21.58
k141_65731	3001	7.95966	7.95966	12.6422
k141_84479	13820	10.5472	10.5472	18.7559
k141_93858	2056	6.13641	6.13641	5.91314
k141_103265	1627	12.6852	12.6852	18.972
k141_37629	2154	24.3658	24.3658	191.935
k141_28202	7341	20.3639	20.3639	56.4567
k141_84485	1759	5.98633	5.98633	12.5992
k141_65734	4169	7.83429	7.83429	17.0287
k141_82	6898	10.2768	10.2768	21.1381
k141_37632	1889	10.816	10.816	16.1376
k141_83	1708	8.7837	8.7837	14.5408
k141_93860	4642	10.8593	10.8595	19.2053
k141_93862	1525	7.92655	7.92655	6.78719
k141_84488	2394	8.66845	8.66845	17.5538
k141_28210	1983	8.06601	8.06601	14.7833
k141_37642	1651	6.10393	6.10393	6.99187
k141_84489	1989	7.66667	7.66667	25.1114
k141_103276	3840	8.80217	8.80244	28.3773
k141_86	2647	24.8518	24.8518	165.362
k141_93867	1917	7.0034	7.0034	14.1789
k141_75093	47618	13.3843	13.3843	29.7383
k141_37644	2752	109.663	109.663	4753.41
k141_28213	4063	10.0923	10.0923	23.2891
k141_56356	31709	35.1842	35.1842	92.8149
k141_75098	1569	7.63777	7.63777	13.3244
k141_9426	66570	23.5299	23.5299	64.0729
k141_93870	5203	9.57194	9.57194	17.9905
k141_103277	8144	10.6205	10.6205	21.0644
k141_75099	2698	6.36225	6.36225	11.1882
k141_56357	3167	12.1952	12.1952	28.7981
k141_37645	5189	7.54257	7.54257	15.1515
k141_84505	1734	6.9779	6.9779	13.7462
k141_94	3725	7.88308	7.88308	21.5834
k141_93874	1552	10.8916	10.8916	13.8997
k141_37648	2316	5.90397	5.90397	12.1819
k141_56359	4465	8.22966	8.22966	16.7386
k141_37649	1924	7.81623	7.81623	11.2646
k141_75109	1635	6.13401	6.13401	17.5568
k141_28215	10330	10.4546	10.4546	21.1862
k141_9432	4219	10.1851	10.1851	20.7816
k141_9434	1915	6.40963	6.40963	16.5764
k141_65741	21187	16.1156	16.1156	42.2965
k141_103286	4231	7.39402	7.39402	6.80544
k141_28223	1763	8.61314	8.61314	16.9222
k141_93885	2145	8.94737	8.94737	21.7862
k141_75116	2566	9.00786	9.00786	14.8855
k141_65743	2456	16.1847	16.1847	28.2339
k141_28225	1999	35.7642	35.7642	332.771
k141_56367	4906	10.2336	10.2336	20.3578
k141_103291	2118	6.06301	6.06301	14.1456
k141_9438	5848	8.88505	8.88522	12.5344
k141_99	14093	15.5647	15.5647	36.079
k141_46968	55571	18.8067	18.8067	45.3632
k141_65746	1852	5.44477	5.44477	9.72151
k141_56371	1644	4.06091	4.06091	5.33794
k141_9444	2240	8.33014	8.33014	19.9045
k141_84524	9964	10.0001	10.0001	18.3633
k141_46971	2040	9.82804	9.82804	14.7438
k141_105	1809	6	6	9.21472
k141_93890	6082	7.53051	7.53051	10.9779
k141_65747	4699	8.60761	8.60761	13.9796
k141_103295	7584	16.7635	16.7637	34.8594
k141_9450	2073	5.9766	5.9766	7.28407
k141_109	2632	41.6503	41.6503	85.5654
k141_56383	2675	7.97743	7.97743	9.22339
k141_84531	2976	8.68401	8.68401	13.4241
k141_84534	1906	5.54157	5.54157	9.74927
k141_9455	2125	6.50127	6.50127	5.39602
k141_28226	17465	12.1168	12.1168	21.4457
k141_93901	3841	6.91845	6.91845	19.4725
k141_103297	6698	8.97236	8.97236	11.3263
k141_28228	2710	8.02852	8.02852	14.8537
k141_56387	5247	8.35334	8.35334	15.0056
k141_84541	2484	6.14781	6.14781	2.57952
k141_93908	2043	5.02219	5.02219	7.09152
k141_103299	3532	9.57244	9.57274	11.2368
k141_110	11071	10.0845	10.0845	19.1804
k141_37662	22146	15.9892	15.9892	38.0781
k141_56388	3356	7.27261	7.27261	11.6904
k141_9465	2861	7.8709	7.8709	7.33382
k141_75117	27336	18.6066	18.6066	48.1503
k141_93912	3098	5.94132	5.94132	7.21171
k141_46995	4179	9.6004	9.6004	16.6147
k141_28233	2483	8.13759	8.13759	8.55432
k141_37666	1903	8.1312	8.1312	16.9062
k141_9467	3779	8.33563	8.33563	9.90553
k141_75119	1831	6.77573	6.77573	14.4453
k141_117	2037	6.77848	6.77848	16.1556
k141_56396	1851	4.94885	4.94885	5.39796
k141_28236	3163	6.99834	6.99834	12.6804
k141_18822	79874	23.7109	23.7109	54.8853
k141_9472	1578	5.95238	5.95238	8.2794
k141_37672	2409	51.3506	51.3506	296.149
k141_75125	3653	8.45761	8.45761	9.86102
k141_84547	11058	10.8991	10.8991	22.9627
k141_47001	4892	7.86356	7.86356	15.0691
k141_56398	3627	8.16652	8.16652	24.0642
k141_18825	2818	8.56522	8.56559	19.5348
k141_93930	1749	6.26892	6.26892	7.99775
k141_28245	2092	5.9171	5.9171	8.35834
k141_103317	3276	16.7281	16.7281	65.4375
k141_75128	2594	6.91367	6.91367	11.9471
k141_37680	1720	5.4465	5.4465	5.35755
k141_84551	1975	11.7622	11.7622	19.7219
k141_28249	1671	8.63708	8.63708	14.0038
k141_56400	4459	10.3233	10.3233	13.2107
k141_103322	2867	6.12661	6.12661	8.71081
k141_127	7284	9.24867	9.24867	13.1619
k141_56402	1793	5.54352	5.54352	4.87923
k141_93939	3754	13.4273	13.4273	25.4844
k141_18831	4304	9.28238	9.28238	11.3311
k141_93940	1577	6.52348	6.52348	12.617
k141_37691	2268	42.7908	42.7908	215.605
k141_103327	1556	8.89758	8.89758	9.19087
k141_28253	4956	7.53329	7.53329	12.8998
k141_65752	39475	18.6041	18.6041	42.8403
k141_37694	2253	41.0989	41.0989	281.433
k141_18835	3824	9.76837	9.76837	16.6704
k141_37697	1512	5.25624	5.25624	5.47211
k141_9475	17945	11.1921	11.1921	21.5643
k141_18836	2088	8.56192	8.56192	11.378
k141_129	8877	32.187	32.1871	182.221
k141_93952	1533	6.8872	6.8872	12.0958
k141_47005	14906	13.7493	13.7493	31.6062
k141_56412	2535	6.58826	6.58826	9.44958
k141_37698	1744	9.4862	9.4862	15.9159
k141_103328	7988	57.9971	57.9971	7273.48
k141_18840	1646	5.2754	5.2754	4.92337
k141_37700	2024	8.91089	8.91089	12.7678
k141_93954	3111	11.6765	11.6765	15.4811
k141_47010	1835	4.37211	4.37211	2.55919
k141_28255	8868	11.3667	11.3667	31.1067
k141_103330	2167	9.29152	9.29152	12.4854
k141_9476	4888	14.6596	14.6596	26.9259
k141_18842	2475	9.83527	9.83527	14.068
k141_103331	2088	6.0547	6.0547	12.7304
k141_28257	3483	7.22832	7.22832	18.7638
k141_9480	2076	9.33229	9.33229	9.57368
k141_141	1793	5.81376	5.81376	6.68518
k141_75160	1718	8.44707	8.44707	24.4566
k141_103337	1538	5.70029	5.70029	6.34413
k141_142	2454	5.48828	5.48828	7.25556
k141_37709	4717	12.9361	12.9361	26.7939
k141_84552	21340	16.025	16.025	31.4545
k141_75162	3291	11.1897	11.1897	19.1244
k141_18850	2962	13.3044	13.3044	106.604
k141_37711	1801	42.2726	42.2726	1425.55
k141_93956	9101	13.9924	13.9924	20.7729
k141_37715	1514	29.4428	29.4428	141.582
k141_84561	1533	6.14461	6.14461	4.43782
k141_149	1585	5.86969	5.86969	5.13852
k141_56417	14381	18.5274	18.5274	60.4015
k141_103343	3437	6.88652	6.88652	11.9332
k141_65754	21489	10.9391	10.9391	26.1838
k141_9495	1551	6.19986	6.19986	7.78146
k141_56418	1797	4.55313	4.55373	2.43802
k141_75171	2122	4.40822	4.40822	3.79921
k141_18854	6064	9.67467	9.67467	16.7362
k141_84567	1526	7.28706	7.28706	9.68409
k141_28258	13960	18.637	18.637	41.83
k141_152	3528	9.9177	9.9177	16.8306
k141_103347	3836	10.643	10.643	20.577
k141_65761	1846	5.65389	5.65389	5.57159
k141_9501	2693	7.20291	7.20291	11.5874
k141_18855	3659	8.61357	8.61357	15.8592
k141_56421	2537	5.55341	5.55341	9.28835
k141_75175	1635	6.20202	6.20202	7.42688
k141_155	1625	5.50441	5.50508	5.89734
k141_103349	2382	6.04615	6.04615	6.6617
k141_65766	1888	6.81358	6.81358	5.62559
k141_9504	2472	10.6641	10.6641	39.5188
k141_103351	2210	11.8437	11.8437	23.0742
k141_75177	4263	17.2657	17.2657	120.971
k141_84577	2618	5.6094	5.6094	5.19961
k141_28266	3282	10.8011	10.8011	22.8532
k141_84578	2342	6.58257	6.58257	11.5084
k141_18863	1894	5.16227	5.16227	11.2284
k141_93984	1528	5.44412	5.44412	9.19266
k141_28268	1561	5.48831	5.48831	5.86418
k141_56427	3659	9.48048	9.48048	18.4826
k141_103358	1547	4.29492	4.29563	5.01641
k141_65769	2498	8.75554	8.75554	13.4017
k141_75179	4746	10.0348	10.0348	14.7514
k141_65770	1566	10.0311	10.0318	15.8046
k141_37732	6116	11.2828	11.2828	30.6512
k141_75181	1547	7.04366	7.04366	12.5533
k141_156	8825	23.356	23.356	176.965
k141_93986	2924	8.56525	8.56525	16.82
k141_9511	2960	6.89609	6.89609	7.10845
k141_37735	1803	7.60496	7.60496	23.307
k141_65772	2655	10.1301	10.1301	26.3248
k141_56431	3273	6.99167	6.99167	8.23064
k141_28272	3906	14.6542	14.6542	39.1959
k141_84588	2167	4.38175	4.38175	6.06152
k141_18874	1928	5.93982	5.93982	5.15728
k141_56432	2304	23.4824	23.4824	47.6558
k141_75185	4321	7.4819	7.4819	13.434
k141_160	5358	16.8882	16.8882	32.6273
k141_37741	1978	6.43709	6.43709	6.09185
k141_9519	1510	4.78088	4.78088	4.26986
k141_56437	1719	6.44168	6.44168	9.52616
k141_103364	9641	12.4527	12.4527	39.6724
k141_84590	5309	10.5751	10.5751	28.0001
k141_162	1622	6.31658	6.31658	17.2662
k141_9520	2781	13.8932	13.8932	30.4864
k141_18875	5444	9.6292	9.6292	22.8264
k141_93997	3205	50.1146	50.1146	260.159
k141_84591	2259	7.57089	7.57089	8.77928
k141_103366	3021	10.782	10.782	44.2675
k141_18877	1512	5.30764	5.30764	8.3381
k141_164	3993	9.93391	9.93391	20.2709
k141_28279	7840	15.5451	15.5451	33.2742
k141_65785	4608	23.3914	23.3914	171.551
k141_9521	4606	9.49888	9.49888	23.4536
k141_56446	3100	16.5427	16.5427	55.6289
k141_94002	2057	141.212	141.212	2303.48
k141_18881	1749	6.39212	6.39212	8.58518
k141_103372	3417	10.8711	10.8711	13.9914
k141_75208	1710	6.84231	6.84231	6.19968
k141_9527	2135	19.3839	19.3839	66.8644
k141_65790	4121	6.95593	6.95593	9.14483
k141_56447	4074	44.8897	44.8897	184.99
k141_28286	3489	9.89188	9.89188	15.0157
k141_37749	9738	15.4631	15.4631	31.8763
k141_18883	5261	9.17727	9.17727	16.4681
k141_18884	1699	8.08715	8.08715	16.2257
k141_75215	1691	16.1265	16.1265	37.0898
k141_65793	1799	9.43299	9.43299	15.4265
k141_56449	2150	16.3975	16.3975	32.941
k141_18885	1645	4.28562	4.28562	6.41702
k141_65796	1524	4.87336	4.87336	6.75015
k141_56452	1642	11.116	11.116	34.8712
k141_18888	1621	4.41332	4.414	5.97888
k141_94011	4496	8.75702	8.75702	15.3181
k141_103383	5359	133.466	133.466	5655.35
k141_9541	4978	7.79722	7.79722	10.1899
k141_94014	1534	5.48266	5.48266	6.66637
k141_103384	2053	7.17814	7.17814	7.58706
k141_9542	2474	11.898	11.898	29.8963
k141_56455	4896	17.9682	17.9682	39.966
k141_18891	6175	6.83485	6.83485	8.62699
k141_37753	11457	13.0587	13.0587	24.3938
k141_75228	3481	8.55359	8.55359	16.7043
k141_9546	2081	16.5572	16.5577	88.8842
k141_65804	8088	10.4515	10.4515	25.8774
k141_28306	3232	6.75373	6.75373	11.0043
k141_56457	4782	15.7591	15.7591	53.7584
k141_65805	2088	7.87926	7.87926	7.63641
k141_84595	25880	13.1474	13.1474	24.174
k141_37764	3485	14.6933	14.6933	66.6677
k141_47016	68592	16.5694	16.5694	37.8817
k141_56460	2801	11.923	11.923	14.7873
k141_94023	8348	9.45462	9.45462	19.7559
k141_167	27279	48.1314	48.1314	185.715
k141_9552	2644	11.8264	11.8264	31.6316
k141_47017	2027	6.48055	6.48055	4.63038
k141_169	1565	17.2926	17.2926	105.942
k141_9555	1977	10.208	10.208	15.0179
k141_28315	3610	7.74017	7.74017	14.4709
k141_65812	4541	24.5962	24.5962	51.891
k141_84598	1795	7.11429	7.11429	6.63162
k141_75246	2783	63.496	63.496	1442.12
k141_171	1745	7.24075	7.24075	9.98961
k141_18892	15239	10.9968	10.9968	23.2602
k141_47024	1767	5.41002	5.41002	4.80762
k141_103402	8388	10.232	10.232	17.2746
k141_28317	2082	36.3753	36.3753	104.99
k141_65817	1518	9.08187	9.08187	21.5163
k141_47025	1588	10.6356	10.6356	30.5046
k141_37774	2457	8.81101	8.81101	9.93743
k141_75252	1599	7.75431	7.75431	15.0349
k141_18895	3139	6.85045	6.85045	11.1459
k141_28318	3296	7.80579	7.80579	10.9782
k141_103405	3759	9.52147	9.52147	20.6231
k141_9560	5720	9.80898	9.80898	15.5102
k141_65824	1797	7.49848	7.49848	10.1772
k141_75254	1638	9.96169	9.96237	9.08394
k141_94039	1761	4.94972	4.94972	6.62431
k141_37780	1944	10.6026	10.6026	47.0818
k141_181	3820	10.779	10.779	21.4027
k141_84608	2940	7.08674	7.08674	9.2137
k141_28322	2014	6.26288	6.26288	10.5288
k141_103407	1857	6.37258	6.37258	18.629
k141_47028	6666	10.1694	10.1694	19.1022
k141_84609	1733	8.75426	8.75426	20.1917
k141_75255	3834	17.2763	17.2763	33.7656
k141_37781	3395	8.01325	8.01325	8.2474
k141_84611	1702	7.95554	7.95554	10.3816
k141_56480	2808	6.79571	6.79571	9.7028
k141_47033	3052	7.28842	7.28842	10.8845
k141_18897	10193	8.72807	8.72807	13.6862
k141_28330	1887	6.37997	6.37997	13.5065
k141_37788	1901	7.93604	7.93604	10.8095
k141_28331	1596	5.34924	5.34924	6.3894
k141_84617	1507	7.00368	7.00368	5.02873
k141_84618	1607	5.59231	5.59231	7.47782
k141_18901	1933	13.0555	13.0555	25.9021
k141_194	2289	6.42263	6.42263	9.36667
k141_75257	9630	11.1614	11.1614	26.8877
k141_28335	1914	7.25397	7.25397	14.008
k141_84620	3501	6.09251	6.09251	11.9908
k141_37800	2765	6.20956	6.20956	8.28121
k141_94063	2657	5.76506	5.76506	6.06405
k141_37802	2784	9.25475	9.25475	12.5037
k141_84624	3519	10.4779	10.4779	55.4225
k141_56495	4211	111.099	111.099	657.697
k141_28340	4231	11.0174	11.0174	22.6912
k141_47042	8715	9.85709	9.85709	18.327
k141_94067	3991	8.85863	8.85863	8.47299
k141_9603	3988	11.105	11.105	25.1451
k141_18918	2202	9.81628	9.81628	15.0598
k141_56502	2510	9.52966	9.52966	13.6762
k141_84632	1874	10.4165	10.4165	21.83
k141_94070	3107	8.25736	8.25736	13.4096
k141_47047	2025	9.7584	9.7584	20.0574
k141_65834	19898	13.8526	13.8526	86.8336
k141_9605	3752	11.6918	11.6918	14.4799
k141_94071	1652	6.30293	6.30293	19.7651
k141_84636	1714	5.54604	5.54604	6.78927
k141_47048	2038	7.26377	7.26377	6.30559
k141_75259	15248	10.5403	10.5403	21.0302
k141_47051	1556	6.41821	6.41821	12.2891
k141_56507	1574	6.88624	6.88624	5.82127
k141_94078	2438	6.04895	6.04895	11.612
k141_84637	4730	7.45917	7.45917	13.7341
k141_47056	1626	6.8042	6.8042	5.07835
k141_94079	1854	6.22477	6.22477	6.40212
k141_75265	1893	6.78485	6.78485	6.88192
k141_65843	3073	7	7	10.2444
k141_18935	4581	8.35026	8.35026	13.0261
k141_94083	2722	8.37792	8.37792	13.9684
k141_84643	4366	8.21679	8.21679	15.1742
k141_47065	1692	6.63294	6.63294	9.48104
k141_37823	10106	40.3227	40.3228	592.175
k141_18938	2361	5.05246	5.05246	10.8154
k141_9627	3343	6.92703	6.92703	17.5264
k141_28371	3689	8.28539	8.28539	16.5017
k141_18939	2047	9.13284	9.13284	21.1336
k141_94090	2321	47.8268	47.8273	825.216
k141_84647	2158	3.80827	3.80827	2.9154
k141_9630	2432	9.54426	9.54426	24.1333
k141_94091	2422	6.27553	6.27597	12.4103
k141_37834	2233	5.5252	5.5252	6.44255
k141_75283	1937	4.73195	4.73195	10.7306
k141_47067	7636	109.619	109.619	4035.3
k141_37835	1990	90.6674	90.6674	399.437
k141_94096	2051	7.0647	7.0647	21.9279
k141_84650	4284	27.6338	27.6338	955.606
k141_9633	3552	11.3401	11.3401	28.8972
k141_37838	2005	11.0146	11.0146	40.7995
k141_75287	1731	6.48893	6.48893	8.58667
k141_47071	2386	8.08318	8.08318	11.645
k141_84654	2474	5.93072	5.93072	8.91089
k141_75289	1589	7.71855	7.71855	21.0578
k141_65859	9260	12.4809	12.4809	26.9556
k141_94103	2278	7.77914	7.77914	9.10211
k141_28385	4123	12.5147	12.5147	17.3439
k141_47072	3094	9.41202	9.41202	17.5777
k141_37843	2300	4.6893	4.6893	5.38786
k141_84655	2976	8.74275	8.74275	14.4007
k141_65860	1814	7.63341	7.63341	9.5288
k141_37846	1935	72.4471	72.4476	3059.9
k141_28386	5507	12.9517	12.9517	28.77
k141_65867	1610	7.73014	7.73014	12.9553
k141_75304	1687	5.04229	5.04294	4.68438
k141_28390	2123	11.3791	11.3791	18.6148
k141_75306	1648	7.28505	7.28505	24.6343
k141_9640	11913	11.8969	11.8969	27.6535
k141_84670	1534	10.4545	10.4545	23.7463
k141_75307	1521	9.6353	9.6353	14.1399
k141_28391	2592	12.726	12.726	26.3325
k141_18940	25693	16.3868	16.3868	39.2739
k141_94113	11567	13.0313	13.0313	22.7658
k141_84674	1575	4.40772	4.40772	7.816
k141_28392	2976	8.00106	8.00106	13.2449
k141_47074	16606	10.0067	10.0067	21.0636
k141_18945	2519	8.26171	8.26171	8.83847
k141_28397	2205	5.69002	5.69002	7.74465
k141_18947	1587	4.81072	4.81072	10.3054
k141_75312	6904	12.4063	12.4063	31.5581
k141_47081	1772	5.91862	5.91862	12.6496
k141_56508	44687	58.3081	58.3081	190.447
k141_9646	7093	12.057	12.057	29.5566
k141_84685	2813	6.85843	6.85843	7.25821
k141_18955	1969	6.2331	6.2331	7.91813
k141_56512	1739	5.85274	5.85274	10.2592
k141_94132	4777	13.646	13.646	33.0863
k141_28399	8478	12.1587	12.1587	24.9599
k141_18959	1594	5.02839	5.02909	6.29017
k141_47090	4375	8.44852	8.44852	12.7047
k141_84691	4263	8.4442	8.4442	13.8257
k141_56516	4192	7.27066	7.27066	9.38282
k141_75316	10003	14.1805	14.1805	49.4466
k141_37860	22788	25.39	25.39	62.8479
k141_75317	2044	5.58078	5.58078	8.4676
k141_47094	4561	11.5359	11.5359	20.2476
k141_84700	2087	6.12494	6.12494	10.0774
k141_65884	21915	12.9017	12.9017	29.1591
k141_37863	3834	9.29805	9.29805	16.6769
k141_84703	1600	5.48414	5.48414	7.6813
k141_18962	8908	15.8284	15.8284	36.6654
k141_94138	13190	26.4005	26.4005	373.632
k141_75318	6533	9.86229	9.86229	21.7071
k141_56525	1540	5.1223	5.1223	6.78424
k141_65892	1947	3.8453	3.8453	4.7177
k141_37867	1977	11.9108	11.9108	21.8885
k141_75319	1675	5.70492	5.70492	4.43256
k141_94141	1953	3.68441	3.68441	3.40147
k141_65893	3057	7.6161	7.6161	11.2937
k141_56527	3182	8.0409	8.0409	12.3901
k141_94147	1716	6.58812	6.58812	12.7344
k141_18969	3476	9.62628	9.62628	16.841
k141_84711	3439	7.66859	7.66859	13.2655
k141_56529	2167	7.82796	7.82796	24.2779
k141_75321	4363	8.84833	8.84833	18.513
k141_65895	3895	10.8742	10.8742	24.7096
k141_28400	21731	10.6953	10.6953	20.6482
k141_75322	2348	14.6647	14.6647	25.3517
k141_65896	1795	7.8383	7.8383	11.795
k141_37874	5493	11.5431	11.5431	28.5948
k141_56534	1506	6.48009	6.48009	6.91843
k141_94150	4693	9.30464	9.30464	13.4783
k141_37877	1597	5.71458	5.71458	5.35212
k141_18976	5813	17.1685	17.1685	202.495
k141_94151	4926	6.89699	6.89699	9.56322
k141_65900	4319	6.85104	6.85104	8.88871
k141_37878	2271	6.92928	6.92928	16.909
k141_75327	6681	10.1383	10.1383	24.4306
k141_94152	1953	6.24515	6.24515	7.05522
k141_56541	3172	9.01919	9.01919	13.9724
k141_28407	6575	9.43984	9.44	13.259
k141_75328	2633	6.16754	6.16754	13.7246
k141_18980	2545	6.71566	6.71607	15.8826
k141_84727	4674	7.77807	7.77807	7.50799
k141_47114	12209	11.1086	11.1086	24.2083
k141_56546	2388	9.0076	9.0076	14.9972
