contigName	contigLen	totalAvgDepth	sample.sorted.bam	sample.sorted.bam-var
k119_6178	3235	4.55073	4.55073	4.23514
k119_6196	1660	4.70662	4.70662	4.0418
k119_681	3015	11.9183	11.9183	27.7299
k119_698	1591	8.99306	8.99306	10.0361
k119_704	1560	9.70709	9.70709	11.1795
k119_6241	2883	6.7446	6.7446	9.85643
k119_710	2348	5.13239	5.13239	3.44946
k119_6250	2483	7.33348	7.33348	11.826
k119_6269	1592	4.29542	4.29542	4.05285
k119_6289	1755	6.53271	6.53271	13.8425
k119_6290	1551	4.7409	4.7409	4.27636
k119_775	2279	4.19728	4.19728	3.96583
k119_6327	2194	21.7989	21.7989	215.345
k119_6332	1888	4.54488	4.54488	4.04547
k119_793	1907	4.56688	4.56688	3.65793
k119_799	1775	4.75385	4.75385	4.41722
k119_6343	1804	6.28235	6.28235	6.32495
k119_813	1899	5.09891	5.09891	2.79855
k119_828	2333	6.80898	6.80898	11.4836
k119_848	1659	4.49304	4.49304	3.94244
k119_6403	2188	7.2473	7.2473	7.7896
k119_876	1779	4.85881	4.85881	5.83383
k119_6428	1932	13.7368	13.7368	28.7349
k119_897	1528	5.5791	5.5791	5.54244
k119_909	1732	7.86473	7.86473	9.94637
k119_6463	1894	7.66227	7.66227	10.4991
k119_6464	1790	11.2909	11.2909	16.3955
k119_932	1566	4.26977	4.26977	3.21196
k119_6480	2251	4.16897	4.16897	3.01284
k119_6508	2172	4.24679	4.24679	4.15529
k119_6515	1670	4.30987	4.30987	1.74921
k119_982	1730	3.68291	3.68291	2.75372
k119_994	2169	5.01882	5.01882	2.72512
k119_1012	1570	5.15211	5.15211	1.998
k119_6565	1977	4.88396	4.88396	5.46297
k119_1020	1909	5.21035	5.21035	4.86244
k119_6582	3139	8.41853	8.41853	10.5627
k119_1043	2601	8.25337	8.25337	8.22277
k119_1046	2294	14.4454	14.4454	29.3456
k119_6595	2340	5.27489	5.27489	4.75129
k119_6604	2202	7.83967	7.83967	15.3185
k119_1070	1687	3.80807	3.80807	3.60309
k119_6622	1685	3.41368	3.41368	1.87635
k119_6629	1547	9.34288	9.34288	16.3087
k119_6701	1512	3.49266	3.49266	2.49111
k119_1158	1757	4.90728	4.90728	4.20622
k119_6729	1651	3.82079	3.82079	3.43526
k119_6748	5066	11.0893	11.0893	25.0707
k119_1205	2016	5.98071	5.98071	10.0629
k119_6753	3271	14.2727	14.2727	38.7813
k119_6755	1557	4.20398	4.20398	4.20657
k119_1239	1576	5.70407	5.70407	3.52919
k119_6774	1963	7.16161	7.16161	14.2426
k119_1263	4634	11.3401	11.3401	20.2118
k119_1301	1748	6.21277	6.21277	4.54581
k119_6815	1949	8.58088	8.58088	12.6062
k119_1308	1657	19.5547	19.5547	71.1342
k119_6828	2538	6.51214	6.51214	12.5231
k119_1316	5985	8.88106	8.88106	20.9627
k119_6885	2561	5.36499	5.36499	4.73723
k119_1328	2770	8.84695	8.84695	11.3477
k119_6902	2324	4.74931	4.74931	2.70799
k119_6925	1789	4.96095	4.96095	5.71641
k119_6940	1817	5.67547	5.67547	5.40061
k119_1379	1883	6.74726	6.74726	6.63702
k119_6962	1511	4.67157	4.67157	4.39572
k119_6964	2382	5.7491	5.7491	4.63358
k119_6999	1676	5.51638	5.51638	6.68535
k119_7004	4435	8.29755	8.29755	13.9299
k119_1436	5599	13.0543	13.0543	63.8941
k119_1441	1610	5.01712	5.01712	3.75364
k119_7015	1549	5.07291	5.07291	3.34088
k119_1443	7034	8.17504	8.17504	14.5869
k119_1452	1770	4.91605	4.91605	4.13993
k119_7028	2333	5.35364	5.35364	6.35702
k119_7035	1733	4.73342	4.73342	5.17798
k119_7041	1752	5.61236	5.61236	7.54542
k119_7046	1805	5.0568	5.0568	2.98588
k119_7050	2240	7.05072	7.05072	6.1602
k119_1506	1831	6.13623	6.13623	5.11655
k119_7052	3076	4.78127	4.78127	3.90222
k119_7062	2235	21.9847	21.9847	56.4351
k119_1530	1924	3.8044	3.8044	2.77445
k119_1531	1747	5.24984	5.24984	5.48326
k119_7065	7988	9.0541	9.0541	13.2313
k119_1566	1787	4.76542	4.76542	2.69922
k119_7083	2170	7.96584	7.96584	17.0269
k119_7089	1716	5.83461	5.83461	5.65505
k119_1591	2179	5.41252	5.41252	4.00481
k119_1612	2888	5.01461	5.01461	5.62703
k119_7120	1659	5.09609	5.09609	4.91447
k119_7127	1823	4.88763	4.88763	4.14047
k119_1620	4045	7.86804	7.86804	11.2286
k119_1624	3188	6.52337	6.52337	6.34494
k119_7140	4045	12.4734	12.4734	37.3348
k119_7154	4337	7.44017	7.44017	9.24401
k119_7174	1883	4.45528	4.45528	2.91675
k119_1668	1750	6.43	6.43	10.7268
k119_1699	1728	4.62864	4.62864	3.06301
k119_7213	3147	9.10244	9.10244	22.3062
k119_7232	3245	7.66074	7.66074	9.21002
k119_7234	2046	8.28534	8.28534	14.5197
k119_7238	1533	5.05134	5.05134	2.98939
k119_7240	2278	5.96241	5.96241	6.08118
k119_1745	3088	5.70524	5.70524	4.37277
k119_7246	1711	3.95708	3.95708	2.45778
k119_7247	2059	6.24882	6.24882	9.86725
k119_7261	1627	4.42315	4.42315	2.98544
k119_1777	2554	5.38478	5.38478	7.04846
k119_7289	1806	6.37621	6.37621	7.68256
k119_1797	1821	4.93956	4.93956	3.91309
k119_1823	1548	4.59871	4.59871	3.53178
k119_7326	1549	3.80486	3.80486	2.45045
k119_1840	2170	7.37228	7.37228	18.1921
k119_7357	1605	6.00275	6.00275	4.79642
k119_1871	1694	4.46438	4.46438	3.23529
k119_7380	2126	6.96559	6.96559	8.93352
k119_1894	2037	4.19025	4.19025	2.51044
k119_1941	1909	3.68562	3.68562	2.72532
k119_1958	1942	4.61272	4.61272	3.34407
k119_1959	2621	9.57871	9.57871	17.4608
k119_7446	10180	17.5644	17.5644	72.9229
k119_7469	1980	8.19563	8.19563	10.842
k119_7480	1903	3.1312	3.1312	1.43712
k119_7498	1509	5.93377	5.93377	6.23272
k119_2041	2277	9.88481	9.88481	25.5796
k119_7500	1918	4.95023	4.95023	3.08976
k119_7501	1715	7.29201	7.29201	8.30145
k119_7516	2113	3.99542	3.99542	3.69058
k119_7556	2254	4.86407	4.86407	4.97536
k119_7562	1867	4.36867	4.36867	3.23636
k119_7568	1510	5.42132	5.42132	4.06301
k119_2158	2227	5.67357	5.67357	5.45314
k119_2166	1624	5.97625	5.97625	6.86907
k119_2187	1633	8.57181	8.57181	16.1369
k119_7660	1995	6.60434	6.60434	11.9779
k119_2196	1649	4.25284	4.25284	4.11961
k119_2204	6859	13.2531	13.2531	20.2779
k119_2209	4086	8.88567	8.88567	19.1526
k119_2217	1637	4.10424	4.10424	2.44474
k119_7719	2611	6.60788	6.60788	6.30597
k119_2237	1600	5.10138	5.10138	6.68333
k119_7768	2634	11.8655	11.8655	33.025
k119_2329	1619	4.70592	4.70592	3.705
k119_7798	4955	28.7748	28.7748	361.711
k119_7807	1707	4.53436	4.53436	4.15646
k119_2341	1507	6.63596	6.63596	9.65794
k119_2361	5382	11.3723	11.3723	39.1689
k119_7834	1706	4.91324	4.91324	3.61111
k119_7845	1747	4.16594	4.16594	2.27883
k119_7854	1864	4.04317	4.04317	3.10963
k119_7872	2924	10.2026	10.2026	30.093
k119_7874	1543	4.26059	4.26059	1.64684
k119_2413	4848	12.2652	12.2652	26.734
k119_2416	1710	8.43013	8.43013	26.8252
k119_7878	1715	4.62492	4.62492	3.48516
k119_2429	2097	5.32101	5.32101	5.33319
k119_7901	2358	4.9846	4.9846	3.5086
k119_7902	5022	7.95874	7.95874	10.5528
k119_7921	1532	4.82055	4.82055	3.16403
k119_7923	1719	4.47228	4.47228	3.62439
k119_2493	2103	4.89811	4.89811	4.85285
k119_2518	4065	11.6266	11.6266	24.5644
k119_2536	2953	5.59829	5.59829	3.88782
k119_2542	1959	4.82642	4.82642	5.51303
k119_2549	5388	9.67965	9.67965	18.7515
k119_2569	2100	6.09231	6.09231	4.69236
k119_2572	1687	6.61548	6.61548	7.64303
k119_8065	1553	6.64576	6.64576	8.08765
k119_8095	2172	6.24431	6.24431	10.1827
k119_2641	2113	4.43148	4.43148	2.87847
k119_2642	1546	4.33954	4.33954	2.34341
k119_8115	1840	8.61775	8.61775	15.3281
k119_8122	2182	4.52264	4.52264	2.61988
k119_2679	1667	4.45023	4.45023	3.11312
k119_2683	1801	9.37432	9.37432	16.2234
k119_2689	2685	9.0284	9.0284	15.7962
k119_8173	1902	4.61473	4.61473	4.85035
k119_2703	1840	3.76627	3.76627	4.41842
k119_8182	5991	7.7158	7.7158	9.78156
k119_8194	2087	4.60764	4.60764	4.28809
k119_8199	1526	5.19331	5.19331	2.98224
k119_8203	2392	7.33988	7.33988	6.71343
k119_2743	1596	3.56224	3.56224	1.5169
k119_8216	1520	5.18029	5.18029	5.47443
k119_8237	1556	4.12518	4.12518	2.75299
k119_8272	1802	5.78269	5.78269	6.11929
k119_2814	2231	4.93561	4.93561	3.29101
k119_2816	1693	5.9987	5.9987	3.41116
k119_8279	2212	5.65616	5.65616	6.48581
k119_8286	2682	4.44747	4.44747	4.67165
k119_8298	2890	7.40949	7.40949	9.05027
k119_2848	1882	5.26963	5.26963	4.53557
k119_2853	1711	4.31582	4.31582	3.6457
k119_8313	2535	12.7736	12.7736	30.6266
k119_2898	1511	4.27186	4.27186	2.55987
k119_8343	5052	13.1159	13.1159	25.2668
k119_8370	1630	4.00608	4.00608	2.96345
k119_8389	2100	4.75282	4.75282	2.35753
k119_8415	2224	14.4744	14.4744	26.1434
k119_8420	1954	8.45843	8.45843	12.4536
k119_8452	7844	8.83091	8.83091	9.32442
k119_3054	1756	5.24097	5.24097	9.42784
k119_8462	1983	4.27714	4.27714	3.19716
k119_3069	1695	5.37152	5.37152	5.21677
k119_3075	1537	4.87094	4.87094	1.97683
k119_8490	3686	9.49604	9.49604	15.3511
k119_8500	8292	9.82375	9.82375	10.9449
k119_3108	3006	9.22234	9.22234	10.0056
k119_3116	1784	8.29131	8.29131	6.63643
k119_8526	1553	4.81896	4.81896	3.24821
k119_3146	1983	6.65139	6.65139	7.43564
k119_3148	1640	4.73423	4.73423	6.59822
k119_8553	2682	7.05687	7.05687	6.14449
k119_3160	1520	11.165	11.165	22.2532
k119_3164	3691	6.84665	6.84665	9.33262
k119_3181	1507	5.28445	5.28445	2.38216
k119_3188	2090	5.52216	5.52216	4.95724
k119_8594	2173	5.28127	5.28127	3.98366
k119_8595	1649	5.07338	5.07338	5.27766
k119_3216	2762	8.0402	8.0402	14.5303
k119_8629	1617	4.83572	4.83572	4.69263
k119_8641	2516	5.76331	5.76331	5.72831
k119_3275	4729	9.54401	9.54401	16.9411
k119_3277	1559	7.21363	7.21363	10.3031
k119_3281	1572	6.59845	6.59845	5.1722
k119_8697	1765	4.07864	4.07864	2.06383
k119_8736	3167	5.82897	5.82897	12.2281
k119_3342	1678	11.4614	11.4614	37.6096
k119_8739	2221	6.5099	6.5099	19.8473
k119_8741	2238	4.38123	4.38123	5.27387
k119_3369	1502	3.67825	3.67825	3.18213
k119_8756	9414	9.68275	9.68275	14.0507
k119_3381	1529	4.80711	4.80711	4.47074
k119_8778	1731	5.28653	5.28653	6.8096
k119_3405	1899	4.38479	4.38479	3.79521
k119_3407	1606	5.51099	5.51099	6.05217
k119_3408	1645	4.68094	4.68094	5.92426
k119_3414	2637	6.91074	6.91074	8.60826
k119_8795	4876	10.296	10.296	13.063
k119_8796	1725	4.47683	4.47683	3.38433
k119_3423	1710	4.29744	4.29744	3.64333
k119_8819	1582	8.7486	8.7486	10.8243
k119_3438	2212	4.70029	4.70029	4.0062
k119_3440	1823	5.70412	5.70412	8.37854
k119_3441	2225	4.68819	4.68819	2.4741
k119_8820	7407	19.0739	19.0739	62.7507
k119_8824	1865	6.09971	6.09971	4.80396
k119_3448	1874	5.42865	5.42865	6.54567
k119_8835	1522	3.86516	3.86516	2.0263
k119_8846	2102	5.46516	5.46516	5.38169
k119_3476	2280	19.4934	19.4934	99.9077
k119_8861	1549	4.56112	4.56112	4.88733
k119_8866	1726	4.64975	4.64975	2.79534
k119_3496	2462	8.34602	8.34602	7.84393
k119_3505	2051	4.20621	4.20621	3.32164
k119_8910	1549	5.30379	5.30379	4.48919
k119_8917	1759	4.26165	4.26165	3.92961
k119_3544	1683	4.88063	4.88063	4.05946
k119_8948	1691	5.86697	5.86697	4.33353
k119_8962	4515	8.2669	8.2669	12.7411
k119_3590	1919	5.77784	5.77784	4.38555
k119_8985	1801	7.86675	7.86675	100.533
k119_3600	2135	7.13904	7.13904	11.1944
k119_8994	1602	6.42631	6.42631	49.4639
k119_9010	1865	15.716	15.716	56.5512
k119_3650	1699	6.91607	6.91607	6.12731
k119_9078	1899	6.29045	6.29045	6.61693
k119_3661	1560	4.89504	4.89504	5.11462
k119_3684	1752	11.0506	11.0506	31.9705
k119_3690	1835	4.07715	4.07715	4.1579
k119_3713	1635	4.90707	4.90707	2.97114
k119_9158	1523	4.14785	4.14785	2.38558
k119_3739	1775	6.96062	6.96062	8.92581
k119_3747	1690	3.55065	3.55065	1.70959
k119_3753	1922	3.79966	3.79966	3.72324
k119_3828	2110	5.61173	5.61173	4.31112
k119_3833	1627	4.40691	4.40691	2.40952
k119_3839	2395	6.78174	6.78174	7.84645
k119_9283	1567	5.43472	5.43472	2.14705
k119_3858	2888	5.2973	5.2973	5.93863
k119_3860	1624	5.97558	5.97558	8.21265
k119_3883	2245	7.60095	7.60095	11.5122
k119_9378	2026	4.43657	4.43657	2.7176
k119_3928	1522	4.97085	4.97085	2.97945
k119_9397	1549	5.31523	5.31523	3.95854
k119_3931	3439	13.7002	13.7002	17.6837
k119_9403	1800	7.78424	7.78424	5.35428
k119_9405	1743	6.51601	6.51601	5.26871
k119_3944	2653	10.3724	10.3724	7.82135
k119_9420	1894	5.04358	5.04358	4.57066
k119_3966	2319	5.57169	5.57169	3.46637
k119_3968	1678	5.92932	5.92932	7.88626
k119_9455	1938	5.08557	5.08557	4.83711
k119_9465	1807	8.30356	8.30356	11.598
k119_4002	3527	5.19662	5.19662	4.67582
k119_9489	1927	10.9235	10.9235	51.4197
k119_9495	3379	9.51688	9.51688	8.71881
k119_9498	4015	5.7229	5.7229	6.81383
k119_9506	1877	4.72322	4.72322	3.50389
k119_9518	1613	4.09706	4.09706	3.78946
k119_4075	1624	3.33786	3.33786	2.31212
k119_9541	1893	5.14056	5.14056	4.3608
k119_9557	2260	4.69147	4.69147	5.30587
k119_9563	1569	5.55814	5.55814	8.69536
k119_9575	2715	6.78207	6.78207	4.31404
k119_4121	2887	12.3296	12.3296	13.2773
k119_4157	1969	4.03408	4.03408	2.61931
k119_4164	1515	5.84249	5.84249	6.42312
k119_4184	2403	6.55659	6.55659	6.80907
k119_9646	2407	5.76562	5.76562	3.07224
k119_4201	1762	4.72395	4.72395	3.6376
k119_9652	1644	5.21754	5.21754	4.42621
k119_4219	3714	7.18996	7.18996	9.00606
k119_4242	1574	4.13975	4.13975	4.20183
k119_4245	1507	6.69713	6.69713	11.4886
k119_9693	1908	4.14846	4.14846	3.16576
k119_9703	2094	8.72994	8.72994	15.3861
k119_4265	1671	4.74622	4.74622	3.68557
k119_9720	1595	4.86436	4.86436	4.93175
k119_4281	1563	5.19108	5.19108	4.996
k119_4285	1845	8.29617	8.29617	7.77293
k119_4286	1632	4.18961	4.18961	3.53526
k119_4322	2918	7.62464	7.62464	12.6177
k119_9776	1710	5.24487	5.24487	7.61152
k119_9788	1691	5.04218	5.04218	2.74301
k119_9795	1961	4.37327	4.37327	2.32248
k119_4356	3607	4.36274	4.36274	4.80305
k119_9818	5089	18.6293	18.6293	153.758
k119_4373	1753	15.7143	15.7143	21.2729
k119_9855	1687	5.60442	5.60442	4.39547
k119_4390	10633	11.1158	11.1158	14.4335
k119_9880	1823	4.46085	4.46085	5.23068
k119_9881	1730	4.99684	4.99684	4.52247
k119_4419	1654	3.45279	3.45279	4.01643
k119_9906	1742	8.16583	8.16583	15.7236
k119_9907	1893	4.44464	4.44464	3.27117
k119_4450	1679	4.31001	4.31001	2.08839
k119_4453	2528	5.82002	5.82002	4.5928
k119_4462	4472	8.51527	8.51527	12.5952
k119_9943	2375	4.70067	4.70067	3.87976
k119_4487	2291	4.93508	4.93508	4.61588
k119_4526	1807	12.8298	12.8298	31.4107
k119_9995	1517	4.58961	4.58961	2.99765
k119_10023	2001	4.16856	4.16856	2.09482
k119_4576	1505	8.96827	8.96827	20.2346
k119_10043	1521	7.35959	7.35959	20.0844
k119_4590	2007	5.1944	5.1944	4.78171
k119_10053	2402	6.12966	6.12966	12.4114
k119_10055	1882	3.83199	3.83199	2.42874
k119_10059	1891	4.40437	4.40437	3.15134
k119_4609	1891	5.10913	5.10913	3.72252
k119_10088	4022	10.8283	10.8283	40.0388
k119_4633	1598	5.71616	5.71616	3.06036
k119_10095	1505	7.35941	7.35941	5.1344
k119_10123	1501	4.69208	4.69208	4.78808
k119_10125	1833	4.653	4.653	3.34327
k119_4690	1726	4.10025	4.10025	2.78359
k119_10146	1655	12.7741	12.7741	21.2307
k119_10151	1516	3.83309	3.83309	2.59629
k119_4710	1687	5.92323	5.92323	3.89126
k119_10196	1963	4.32708	4.32708	3.98183
k119_4756	2606	5.44829	5.44829	4.33297
k119_10205	5099	6.87957	6.87957	8.46442
k119_4764	1520	4.58029	4.58029	2.86755
k119_10215	2342	3.85858	3.85858	3.33827
k119_10238	1568	4.90691	4.90691	2.80853
k119_4833	1712	16.758	16.758	54.4398
k119_10272	2211	4.59292	4.59292	5.9483
k119_4841	2060	5.24503	5.24503	4.32548
k119_10292	1553	3.10335	3.10335	2.16692
k119_4889	1707	7.1246	7.1246	9.09889
k119_10321	7265	7.76093	7.76093	9.8387
k119_10334	2932	3.92955	3.92955	3.16224
k119_4914	2787	6.56162	6.56162	8.44587
k119_10336	1574	6.0302	6.0302	7.79311
k119_10338	1637	4.19637	4.19637	4.21042
k119_10342	1718	4.53635	4.53635	4.54367
k119_10350	2506	11.2789	11.2789	21.6373
k119_4955	2849	5.44609	5.44609	5.20421
k119_4976	1812	5.39651	5.39651	5.74695
k119_10395	2598	5.11479	5.11479	5.24505
k119_10405	1864	5.46266	5.46266	5.81556
k119_5014	1525	3.68145	3.68145	2.13717
k119_5036	1510	5.13382	5.13382	2.97988
k119_10454	1541	5.61538	5.61538	4.55627
k119_5057	1734	7.11111	7.11111	7.08052
k119_10473	2100	5.31128	5.31128	20.1005
k119_5080	1744	5.26349	5.26349	6.67628
k119_5086	1708	3.9172	3.9172	1.71504
k119_5102	1514	5.67522	5.67522	5.29647
k119_10517	1655	4.5289	4.5289	2.69879
k119_5122	1718	5.42538	5.42538	5.76343
k119_5130	3813	6.58913	6.58913	6.95817
k119_5151	1696	4.26908	4.26908	6.20071
k119_10577	2278	5.04464	5.04464	2.73096
k119_10610	1722	4.80471	4.80471	4.7772
k119_5203	2159	5.23693	5.23693	6.14201
k119_10630	1709	4.32521	4.32521	2.22213
k119_5228	1888	4.70426	4.70426	2.46516
k119_10643	2808	5.84236	5.84236	4.01093
k119_10644	2243	5.56761	5.56761	4.18915
k119_10659	5171	7.71301	7.71301	9.35189
k119_10663	2099	5.37506	5.37506	2.19653
k119_5261	4072	9.07828	9.07828	14.1387
k119_5277	2074	10.0296	10.0296	24.5695
k119_5284	1575	4.42316	4.42316	5.99425
k119_10697	1776	4.22325	4.22325	2.85412
k119_5293	1648	4.44126	4.44126	3.55067
k119_10710	1838	8.16469	8.16469	12.2728
k119_10740	1939	3.60313	3.60313	3.43076
k119_5326	2155	7.12269	7.12269	6.36719
k119_10744	1920	4.56441	4.56441	4.34548
k119_5346	1543	4.87365	4.87365	5.29438
k119_10767	2415	4.8649	4.8649	5.11689
k119_10768	1780	4.19632	4.19632	3.38194
k119_10777	2098	5.4194	5.4194	4.54045
k119_5369	5127	8.8266	8.8266	11.2611
k119_5371	1590	6.33472	6.33472	6.17689
k119_5372	1530	5.89275	5.89275	5.83331
k119_5404	2231	7.91302	7.91302	14.9461
k119_5407	2610	6.7435	6.7435	8.16473
k119_10835	7542	19.7637	19.7637	37.1326
k119_5409	2273	3.91239	3.91239	3.42777
k119_10842	1509	17.5121	17.5121	24.5151
k119_10847	1527	3.94699	3.94699	2.25956
k119_5419	1986	6.61438	6.61438	5.45671
k119_5426	1941	3.8632	3.8632	2.64329
k119_10917	2752	11.0115	11.0115	26.0999
k119_10920	1742	5.56281	5.56281	5.99478
k119_10928	1711	4.06342	4.06342	2.91457
k119_5437	2443	5.3044	5.3044	5.57396
k119_10948	1528	4.49565	4.49565	2.34167
k119_5447	2895	11.3559	11.3559	18.6923
k119_10974	1893	5.21343	5.21343	4.76724
k119_5504	1786	5.05562	5.05562	2.29353
k119_11040	1613	4.3069	4.3069	3.27991
k119_11042	1560	5.13972	5.13972	3.09829
k119_5535	1936	4.44177	4.44177	3.79071
k119_5568	1648	4.8251	4.8251	6.47707
k119_11094	1850	4.98176	4.98176	3.25864
k119_11103	3586	6.67753	6.67753	12.7262
k119_11115	4257	15.2386	15.2386	30.2538
k119_11116	3246	14.8182	14.8182	25.0012
k119_11118	3114	9.53408	9.53408	19.1277
k119_11120	3175	8.05322	8.05322	7.24745
k119_11121	6502	10.6275	10.6275	11.9683
